addr,assessVal,assessYear,baseExAmt,baseTaxAmt,lienAmt,block,lot,ward,ownerOcc,vacant,sqft,zoneCode,winBidAmt,winPremium,winAmtDue,winBidder,winBusinessNum
2210 E CHASE ST,12000.0,2012,0.0,12000.0,3617.31,1553,006,8,0,1,980.0,R-8,,,,,
2233 E CHASE ST,12000.0,2012,0.0,12000.0,1651.75,1570,017,8,1,0,1120.0,R-8,,,,,
2410 E CHASE ST,3000.0,2012,0.0,3000.0,906.65,1555,052,8,0,1,945.0,R-8,,,,,
2429 E CHASE ST,3000.0,2012,0.0,3000.0,929.73,1572,015,8,0,1,910.0,R-8,,,,,
2726 E CHASE ST,25000.0,2012,0.0,25000.0,2539.29,1558,026,8,0,1,1050.0,R-7,,,,,
0227 W CHASE ST,236400.0,2012,0.0,236400.0,10061.77,0503,032,11,0,0,3000.0,B-5-1,120348.0,5157.0,15218.77,"PLUTO 2013, LLC",154.0
0508 CHATEAU AVE,79500.0,2012,0.0,79500.0,7845.06,5173,088,27,0,1,1584.0,R-6,,,,,
0519 CHATEAU AVE,114900.0,2012,0.0,114900.0,484.19,5173,074,27,0,1,1597.5,R-6,800.0,0.0,484.19,,151.0
0548 CHATEAU AVE,102900.0,2012,0.0,102900.0,1666.51,5173,099I,27,1,0,1584.0,R-6,49755.88,1719.0,3385.51,,213.0
4603 CHATFORD AVE,91600.0,2012,0.0,91600.0,1181.21,6120,022,26,1,0,1703.49,R-6,77982.35,8268.0,9449.21,,162.0
4723 CHATFORD AVE,89600.0,2012,0.0,89600.0,1622.06,6123,012,26,0,0,1600.0,R-6,92612.1,11354.0,12976.06,,162.0
4791 CHATFORD AVE,98400.0,2012,0.0,98400.0,3560.56,6123,046,26,0,0,2426.74,R-6,48969.55,1921.0,5481.56,,162.0
3713 CHATHAM ROAD,100000.0,2012,0.0,100000.0,4171.11,2935,001,15,0,0,13440.0,R-2,8750.0,0.0,4171.11,,162.0
3903 CHATHAM ROAD,183800.0,2012,0.0,183800.0,2152.83,2727,013,15,1,0,8400.0,R-2,112184.33,7732.0,9884.83,"PLUTO 2013, LLC",154.0
3913 CHATHAM ROAD,410600.0,2012,0.0,410600.0,11664.52,2727,018,15,0,0,11900.0,R-2,198204.0,6792.0,18456.52,"PLUTO 2013, LLC",154.0
4004 CHATHAM ROAD,158833.0,2012,0.0,158833.0,5647.98,2712,015,15,0,0,8400.0,R-2,73660.3,2025.0,7672.98,,34.0
0809 CHAUNCEY AVE,94037.0,2012,0.0,94037.0,909.86,3463A,013D,13,0,0,1680.0,R-7,75080.58,7493.0,8402.86,"PLUTO 2013, LLC",154.0
0829 CHAUNCEY AVE,113900.0,2012,0.0,113900.0,2645.33,3463A,012B,13,0,0,1995.0,R-7,50304.63,948.0,3593.33,,34.0
1916 CHELSEA ROAD,89100.0,2012,0.0,89100.0,3815.74,2880,023,15,0,0,3416.67,R-4,16850.0,0.0,3815.74,,162.0
2116-2118 CHELSEA TERR,225200.0,2012,0.0,225200.0,17812.47,2817,046,15,0,1,,R-4,,,,,
2117 CHELSEA TERR,72987.0,2012,0.0,72987.0,12764.77,2808,012,15,0,1,2530.0,R-6,,,,,
2143 CHELSEA TERR,82500.0,2012,0.0,82500.0,9797.1,2808,025,15,0,0,1686.67,R-6,,,,,
